Serial Number,NZDT,Heading
004-0009-00481,16/10/20 17:25:01,317.9448872
004-0009-00481,16/10/20 17:25:00,325.8367137
004-0009-00481,16/10/20 17:24:59,326.3777572
004-0009-00481,16/10/20 17:24:58,344.5496689
004-0009-00481,16/10/20 17:24:56,343.4767437
004-0009-00481,16/10/20 17:24:55,345.2506347
004-0009-00481,16/10/20 17:24:53,335.6640165
004-0009-00481,16/10/20 17:24:52,338.4193187
004-0009-00481,16/10/20 17:24:51,344.9819367
004-0009-00481,16/10/20 17:24:50,346.1082541
004-0009-00481,16/10/20 17:24:49,341.3644689
004-0009-00481,16/10/20 17:24:47,340.7228791
004-0009-00481,16/10/20 17:24:46,338.5192513
004-0009-00481,16/10/20 17:24:45,344.0790802
004-0009-00481,16/10/20 17:24:44,341.1186287
004-0009-00481,16/10/20 17:24:43,339.8360782
004-0009-00481,16/10/20 17:24:41,343.0907776
004-0009-00481,16/10/20 17:24:40,338.4093552
004-0009-00481,16/10/20 17:24:39,346.4541204
004-0009-00481,16/10/20 17:24:37,342.8772342
004-0009-00481,16/10/20 17:24:36,339.8818191
004-0009-00481,16/10/20 17:24:34,346.6793329
004-0009-00481,16/10/20 17:24:33,339.4179378
004-0009-00481,16/10/20 17:24:32,337.8793615
004-0009-00481,16/10/20 17:24:31,350.1906039
004-0009-00481,16/10/20 17:24:30,349.0889766
004-0009-00481,16/10/20 17:24:28,339.4457305
004-0009-00481,16/10/20 17:24:27,337.3769804
004-0009-00481,16/10/20 17:24:26,340.3358881
004-0009-00481,16/10/20 17:24:25,341.8499734
004-0009-00481,16/10/20 17:24:24,340.9054825
004-0009-00481,16/10/20 17:24:23,346.010205
004-0009-00481,16/10/20 17:24:22,350.93625
004-0009-00481,16/10/20 17:24:20,354.5411504
004-0009-00481,16/10/20 17:24:19,356.1520307
004-0009-00481,16/10/20 17:24:18,357.2490069
004-0009-00481,16/10/20 17:24:16,368.1593811
004-0009-00481,16/10/20 17:24:15,360.7083959
004-0009-00481,16/10/20 17:24:14,355.0962969
004-0009-00481,16/10/20 17:24:13,338.8312208
004-0009-00481,16/10/20 17:24:12,345.3535704
004-0009-00481,16/10/20 17:24:11,343.7295146
004-0009-00481,16/10/20 17:24:10,342.6906957
004-0009-00481,16/10/20 17:24:09,340.4143584
004-0009-00481,16/10/20 17:24:08,339.8242036
004-0009-00481,16/10/20 17:24:07,327.425379
004-0009-00481,16/10/20 17:24:05,331.9930399
004-0009-00481,16/10/20 17:24:04,340.2364425
004-0009-00481,16/10/20 17:24:02,344.1276157
004-0009-00481,16/10/20 17:24:01,338.0004946
004-0009-00481,16/10/20 17:24:00,347.7298653
004-0009-00481,16/10/20 17:23:59,341.4468958
004-0009-00481,16/10/20 17:23:57,346.0380133
004-0009-00481,16/10/20 17:23:56,345.1861817
004-0009-00481,16/10/20 17:23:55,342.5632658
004-0009-00481,16/10/20 17:23:54,344.1205821
004-0009-00481,16/10/20 17:23:52,342.8165484
004-0009-00481,16/10/20 17:23:50,348.3160056
004-0009-00481,16/10/20 17:23:49,338.516966
